Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume MXN,RRR,Rentabilidad,RR,,
1509148800,28/10/2017,ETHMXN,5785.86,5787,5650,5650.08,265.19,1516021.46,51.20102568,51.20%,,,
1509062400,27/10/2017,ETHMXN,5701.21,5809.91,5638.99,5785.86,571.76,3272825.23,-14.80516301,-14.81%,,,
1508976000,26/10/2017,ETHMXN,5764.5,5799.99,5638.64,5701.21,362.03,2075460.9,17.48197663,17.48%,,,
1508889600,25/10/2017,ETHMXN,5883.89,5883.89,5610,5764.5,766.02,4377663.64,15.58575494,15.59%,,,
1508803200,24/10/2017,ETHMXN,5559,6000,5476,5883.89,1612.53,9425547.16,-20.14784221,-20.15%,,,
1508716800,23/10/2017,ETHMXN,5765.33,5765.33,5350,5559,1590.09,8773460.3,12.97599507,12.98%,,,
1508630400,22/10/2017,ETHMXN,5854.52,5870,5650,5765.33,438.14,2520945.6,20.35650705,20.36%,,,
1508544000,21/10/2017,ETHMXN,5841.74,5873.82,5605,5854.52,905.35,5183373.83,-1.41160877,-1.41%,,,
1508457600,20/10/2017,ETHMXN,5839.99,5899,5750,5841.74,886.05,5165711.14,-0.197505784,-0.20%,,,
1508371200,19/10/2017,ETHMXN,5855,5941.19,5709.01,5839.99,930.56,5404563.33,1.613007221,1.61%,,,
1508284800,18/10/2017,ETHMXN,6098.96,6098.96,5360.01,5855,2646.78,15123454.76,9.217237549,9.22%,,,
1508198400,17/10/2017,ETHMXN,6156,6199.94,5907.07,6098.96,1307.38,7918111.47,4.362924322,4.36%,,,
1508112000,16/10/2017,ETHMXN,6089,6350,6037.71,6156,1261.21,7873276.53,-5.312358767,-5.31%,,,
1508025600,15/10/2017,ETHMXN,6161.17,6161.17,5868.99,6089,1235.02,7431082.39,5.843630063,5.84%,,,
1507939200,14/10/2017,ETHMXN,6170,6339.99,6036,6161.17,834.52,5159385.61,1.058093275,1.06%,,,
1507852800,13/10/2017,ETHMXN,5670,6258,5429.88,6170,3589.51,21463492.52,-13.92947784,-13.93%,,,
1507766400,12/10/2017,ETHMXN,5655,5765,5595,5670,1570.31,8948030.33,-0.955225401,-0.96%,,,
1507680000,11/10/2017,ETHMXN,5618.72,5690,5529.01,5655,670.1,3766615.65,-5.414117296,-5.41%,,,
1507593600,10/10/2017,ETHMXN,5520,5685,5359.86,5618.72,1166.24,6476988.83,-8.464809988,-8.46%,,,
1507507200,09/10/2017,ETHMXN,5550,5570,5280,5520,1526.34,8282477.29,1.965486065,1.97%,,,
1507420800,08/10/2017,ETHMXN,5724.99,5724.99,5458.2,5550,512.81,2873481.41,34.12374954,34.12%,,,
1507334400,07/10/2017,ETHMXN,5670,5725,5575.13,5724.99,519.93,2947016.41,-10.57642375,-10.58%,,,
1507248000,06/10/2017,ETHMXN,5450,5670,5379.01,5670,912.07,5048549.78,-24.12095563,-24.12%,,,
1507161600,05/10/2017,ETHMXN,5399.99,5475.99,5300,5450,932.96,5017739.11,-5.360358429,-5.36%,,,
1507075200,04/10/2017,ETHMXN,5400,5460.88,5331.09,5399.99,488.69,2632193.87,0.002046287,0.00%,,,
1506988800,03/10/2017,ETHMXN,5439,5479.99,5264.01,5400,709.13,3808525.85,5.499696812,5.50%,,,
1506902400,02/10/2017,ETHMXN,5452,5496.61,5302.04,5439,747.32,4040094.5,1.739549323,1.74%,,,
1506816000,01/10/2017,ETHMXN,5434,5498.95,5350,5452,256.54,1386591.73,-7.016449676,-7.02%,,,
1506729600,30/09/2017,ETHMXN,5254.91,5539.99,5250,5434,632.75,3438901.92,-28.30343738,-28.30%,,,
1506643200,29/09/2017,ETHMXN,5496.96,5529,5005.23,5254.91,1331.87,6992709.04,18.17369563,18.17%,,,
1506556800,28/09/2017,ETHMXN,5550,5579.99,5320.02,5496.96,1024.81,5610615.55,5.175593525,5.18%,,,
1506470400,27/09/2017,ETHMXN,5121.01,5641.72,5121.01,5550,1352.64,7290858.01,-31.71501656,-31.72%,,,
1506384000,26/09/2017,ETHMXN,5210.01,5273,5105,5121.01,1252.67,6464287.76,7.104824096,7.10%,,,
1506297600,25/09/2017,ETHMXN,5150.83,5280.93,5050.25,5210.01,885.8,4613176.35,-6.680966358,-6.68%,,,
1506211200,24/09/2017,ETHMXN,5035,5242.99,4980,5150.83,389.65,1993764.81,-29.72667779,-29.73%,,,
1506124800,23/09/2017,ETHMXN,4847.97,5224.28,4670.11,5035,670.06,3352560.78,-27.91242575,-27.91%,,,
1506038400,22/09/2017,ETHMXN,4701,4895.9,4526.01,4847.97,1080.33,5113998.1,-13.6041765,-13.60%,,,
1505952000,21/09/2017,ETHMXN,5180,5200,4625.01,4701,1858.2,9028066.34,25.77763427,25.78%,,,
