Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume MXN,RRR,Rentabilidad,RR,,
1561248000,23/06/2019,BTCMXN,201300,211000,198295,204996.31,163.2,33397199.24,-22.64895833,-22.65%,,,
1561161600,22/06/2019,BTCMXN,194950,213184.26,192300.12,201300,386.29,78415034.04,-16.43842709,-16.44%,,,
1561075200,21/06/2019,BTCMXN,180600,194950,180600,194950,239.96,44750226.07,-59.80163361,-59.80%,,,
1560988800,20/06/2019,BTCMXN,175614.34,181899.99,175000,180600,188.63,33657032.19,-26.43089646,-26.43%,,,
1560902400,19/06/2019,BTCMXN,172314.85,176920.59,170611.1,175614.34,157.83,27487226.76,-20.90534119,-20.91%,,,
1560816000,18/06/2019,BTCMXN,175108.94,176953.94,169001,172314.85,189.84,32718682.46,14.71813106,14.72%,,,
1560729600,17/06/2019,BTCMXN,170000,178000,170000,175108.94,221.3,38739025.85,-23.08603705,-23.09%,,,
1560643200,16/06/2019,BTCMXN,168900.05,179000,166651,170000,188.79,32645668.41,-5.826314953,-5.83%,,,
1560556800,15/06/2019,BTCMXN,167828.28,169900,165560.85,168900.05,139.38,23394463.3,-7.689553738,-7.69%,,,
1560470400,14/06/2019,BTCMXN,159500,168000,157902.02,167828.28,216.2,34987338.64,-38.52118409,-38.52%,,,
1560384000,13/06/2019,BTCMXN,157020.1,161500,155499.01,159500,173.54,27504009.34,-14.29007722,-14.29%,,,
1560297600,12/06/2019,BTCMXN,152999.99,158794.47,151400,157020.1,197.61,30809987.41,-20.3436567,-20.34%,,,
1560211200,11/06/2019,BTCMXN,154978.01,156754.12,150010,152999.99,190.4,29091749.47,10.3887605,10.39%,,,
1560124800,10/06/2019,BTCMXN,151120.12,157207.93,147170.01,154978.01,157,24060515.55,-24.57254777,-24.57%,,,
1560038400,09/06/2019,BTCMXN,156003.01,157347.35,148000,151120.12,84.3,12872471.56,57.9227758,57.92%,,,
1559952000,08/06/2019,BTCMXN,157550,159100,154000,156003.01,60.85,9551968.5,25.4230074,25.42%,,,
1559865600,07/06/2019,BTCMXN,155500,159990,154000.12,157550,195.53,30781821.04,-10.48432466,-10.48%,,,
1559779200,06/06/2019,BTCMXN,156034.07,158606.01,148000,155500,231.79,35822053.51,2.30411148,2.30%,,,
1559692800,05/06/2019,BTCMXN,153349.46,157999.99,151700.01,156034.07,273.93,42470941.5,-9.800350454,-9.80%,,,
1559606400,04/06/2019,BTCMXN,163299,163299,148201,153349.46,337.03,52396415.49,29.52122956,29.52%,,,
1559520000,03/06/2019,BTCMXN,171751,171994.96,162100,163299,167.85,28274589.6,50.35448317,50.35%,,,
1559433600,02/06/2019,BTCMXN,169950,172901.48,169063.8,171751,75.94,12995852.4,-23.71609165,-23.72%,,,
1559347200,01/06/2019,BTCMXN,170492.4,171000,167606.4,169950,87.63,14875658.82,6.189661075,6.19%,,,
1559260800,31/05/2019,BTCMXN,163503.5,170499.01,161500,170492.4,206.91,34433388.41,-33.7774878,-33.78%,,,
1559174400,30/05/2019,BTCMXN,166806,175000,154292.48,163503.5,313.69,51905022.21,10.52790972,10.53%,,,
1559088000,29/05/2019,BTCMXN,167999.99,169233.32,162500,166806,200.98,33561791.87,5.940839885,5.94%,,,
1559001600,28/05/2019,BTCMXN,167075,168387.14,164782.85,167999.99,149.91,25014634.63,-6.170302181,-6.17%,,,
1558915200,27/05/2019,BTCMXN,164642.86,170000,164501.1,167075,230.57,38547153.6,-10.5483801,-10.55%,,,
1558828800,26/05/2019,BTCMXN,152550.94,167352.9,151001,164642.86,172.41,27691937.3,-70.13467896,-70.13%,,,
1558742400,25/05/2019,BTCMXN,152996.95,154799.99,152000,152550.94,65.39,10018329.09,6.820767701,6.82%,,,
1558656000,24/05/2019,BTCMXN,150572.84,155999.73,149000,152996.95,174.23,26680660.05,-13.91327556,-13.91%,,,
1558569600,23/05/2019,BTCMXN,147022.17,151801,144016.73,150572.84,210.16,31178082.84,-16.89507994,-16.90%,,,
1558483200,22/05/2019,BTCMXN,152401,154000,145000.01,147022.17,215.37,32497687.48,24.97483401,24.97%,,,
1558396800,21/05/2019,BTCMXN,151803.01,154800.01,150000,152401,152.17,23201325.05,-3.929749622,-3.93%,,,
1558310400,20/05/2019,BTCMXN,156896.97,156896.97,144850,151803.01,174.01,26240554.75,29.27394977,29.27%,,,
1558224000,19/05/2019,BTCMXN,139200,157500,139200,156896.97,203.16,30695051.86,-87.10853514,-87.11%,,,
1558137600,18/05/2019,BTCMXN,141002.28,143942.01,139000,139200,119,16848848.27,15.14521008,15.15%,,,
1558051200,17/05/2019,BTCMXN,151900,153196.98,129100,141002.28,450.67,62368051.75,24.18115251,24.18%,,,
1557964800,16/05/2019,BTCMXN,157100,160498.99,147630,151900,305.8,46871362.8,17.00457816,17.00%,,,
1557878400,15/05/2019,BTCMXN,154222.07,158300,152401,157100,308.57,47898560.49,-9.326668179,-9.33%,,,
1557792000,14/05/2019,BTCMXN,150084.33,157350,147200.51,154222.07,348.27,53100009.7,-11.88083958,-11.88%,,,
1557705600,13/05/2019,BTCMXN,134794.03,156213.17,132100.01,150084.33,347.43,51311871.94,-44.00972858,-44.01%,,,
1557619200,12/05/2019,BTCMXN,140550.05,144850,129000.3,134794.03,338.63,46036530.74,16.99796238,17.00%,,,
1557532800,11/05/2019,BTCMXN,122738.71,143999.96,122000.11,140550.05,269.32,35705155.26,-66.13448686,-66.13%,,,
1557446400,10/05/2019,BTCMXN,119000,123399.99,117700,122738.71,242.01,29388246.45,-15.44857651,-15.45%,,,
1557360000,09/05/2019,BTCMXN,114005.01,119700,114005.01,119000,231.77,27119166.01,-21.55149502,-21.55%,,,
1557273600,08/05/2019,BTCMXN,110500,114600,109093.25,114005.01,192.4,21649460.08,-18.21730769,-18.22%,,,
1557187200,07/05/2019,BTCMXN,107596.47,112986.06,107596.47,112986.06,61.25,6771126.01,-87.99330612,-87.99%,,,
1557100800,06/05/2019,BTCMXN,109219.96,109360,106300,107596.47,163.14,17623269.67,9.951514037,9.95%,,,
1557014400,05/05/2019,BTCMXN,109194.24,109499.99,106596.61,109219.96,91.16,9867030.25,-0.28214129,-0.28%,,,
1556928000,04/05/2019,BTCMXN,106382.17,110079.43,104054.29,109194.24,148.62,16000247.87,-18.92120845,-18.92%,,,
1556841600,03/05/2019,BTCMXN,103241,111481.34,103101.05,106382.17,239.9,25759236.29,-13.09366403,-13.09%,,,
1556755200,02/05/2019,BTCMXN,101500,104100,101001.21,103241,168.31,17335310.94,-10.34400808,-10.34%,,,
1556668800,01/05/2019,BTCMXN,100832.56,101889.99,99687.11,101500,135.85,13702445.37,-4.913065881,-4.91%,,,
1556582400,30/04/2019,BTCMXN,98897.92,100999.42,97902.01,100832.56,170.27,16957911.17,-11.36218946,-11.36%,,,
1556496000,29/04/2019,BTCMXN,99374.84,99599.58,97700.01,98897.92,142.58,14066883.14,3.344929163,3.34%,,,
1556409600,28/04/2019,BTCMXN,100499.31,100499.31,97901.01,99374.84,101.06,9998709.16,11.12675638,11.13%,,,
1556323200,27/04/2019,BTCMXN,98200,100689.21,97700,100499.31,69.22,6867369.74,-33.21742271,-33.22%,,,
1556236800,26/04/2019,BTCMXN,98350.01,101975.1,96579.67,98200,250.73,24636962.65,0.598292984,0.60%,,,
1556150400,25/04/2019,BTCMXN,104000,105799.99,97250,98350.01,202.32,20781339.78,27.9260083,27.93%,,,
1556064000,24/04/2019,BTCMXN,105000,106500,102381.2,104000,195.55,20385197.55,5.113781642,5.11%,,,
1555977600,23/04/2019,BTCMXN,101006.95,106400,100502.01,105000,204.62,21390899.45,-19.51446584,-19.51%,,,
1555891200,22/04/2019,BTCMXN,98684.04,101870,98500.14,101006.95,109.69,11009380.32,-21.1770444,-21.18%,,,
1555804800,21/04/2019,BTCMXN,99133.8,100400,98415.01,98684.04,61.16,6083715.13,7.35382603,7.35%,,,
1555718400,20/04/2019,BTCMXN,98875.98,100498.96,98570.01,99133.8,75.12,7482030.4,-3.432108626,-3.43%,,,
1555632000,19/04/2019,BTCMXN,99896.4,100000,97500,98875.98,102.23,10129417.2,9.981610095,9.98%,,,
1555545600,18/04/2019,BTCMXN,98400,99991,98300,99896.4,129.99,12909409.23,-11.51165474,-11.51%,,,
1555459200,17/04/2019,BTCMXN,98000,99100,97500,98400,142.51,14006132.02,-2.806820574,-2.81%,,,
1555372800,16/04/2019,BTCMXN,95800,98599.96,95001,98000,199.3,19303891.3,-11.03863522,-11.04%,,,
1555286400,15/04/2019,BTCMXN,97489.47,99997.66,94200.01,95800,229.26,22264421.34,7.36923144,7.37%,,,
1555200000,14/04/2019,BTCMXN,96771.56,97999,95562.01,97489.47,69.18,6694371.6,-10.37742122,-10.38%,,,
1555113600,13/04/2019,BTCMXN,95850,97149.36,95300,96771.56,88.92,8581187.61,-10.36392263,-10.36%,,,
1555027200,12/04/2019,BTCMXN,94757.57,96000,94757.57,95850,3.77,361071.2,-289.7692308,-289.77%,,,
1554940800,11/04/2019,BTCMXN,100299.88,100799.72,94400,94757.57,233.11,22417352.49,23.77551371,23.78%,,,
1554854400,10/04/2019,BTCMXN,98000,102319.85,97500,100299.88,207.79,20748804.52,-11.0682901,-11.07%,,,
1554768000,09/04/2019,BTCMXN,99307.01,99800,97500.01,98000,144.45,14223902.78,9.048182762,9.05%,,,
1554681600,08/04/2019,BTCMXN,98902,100000,97011.18,99307.01,212.86,21081459.62,-1.902706004,-1.90%,,,
1554595200,07/04/2019,BTCMXN,96100,98902,95600.05,98902,76.28,7427422.77,-36.73308862,-36.73%,,,
1554508800,06/04/2019,BTCMXN,94700,98989.99,94219,96100,156.36,15080426.31,-8.953696598,-8.95%,,,
1554422400,05/04/2019,BTCMXN,92450,96700,92305.33,94700,260.41,24547582.82,-8.64022119,-8.64%,,,
1554336000,04/04/2019,BTCMXN,93260,96449,89900.01,92450,271.67,25309463.69,2.981558508,2.98%,,,
1554249600,03/04/2019,BTCMXN,91510,101001,90000.01,93260,462.61,43971692.21,-3.782884071,-3.78%,,,
